carat,cut,color,clarity,depth,table,price,x,y,z,price_capped,volume
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,326.0,38.20203
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,326.0,34.505856
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,327.0,38.076885
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,334.0,46.72458
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,335.0,51.917249999999996
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,336.0,38.693951999999996
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,336.0,38.830870000000004
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,337.0,42.321081
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,337.0,36.425214000000004
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,338.0,38.718
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,339.0,49.6587
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,340.0,37.70442
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,342.0,34.715136
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,344.0,51.515744999999995
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,345.0,32.262375
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,345.0,51.883728000000005
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,348.0,50.130472
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,351.0,48.99609000000001
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,351.0,48.833658
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,351.0,47.818022
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,351.0,49.64177999999999
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,352.0,37.42816
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,353.0,37.601784
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,353.0,50.952974
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,353.0,51.403212
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,354.0,38.366477
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,355.0,38.635246
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,357.0,49.13868
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,357.0,37.73088
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,357.0,38.236968000000005
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,402.0,38.8492
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,402.0,39.693808
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,402.0,38.525674
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,402.0,39.07343999999999
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,402.0,37.876608
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,402.0,39.258576
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,402.0,36.27393
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,402.0,50.847224999999995
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,403.0,43.295616
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,403.0,56.294722
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,403.0,55.563750000000006
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,403.0,56.385419999999996
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,403.0,41.863878
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,403.0,43.703376000000006
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,403.0,52.155950000000004
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,403.0,47.865359999999995
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,403.0,52.105169999999994
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,403.0,53.280072000000004
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,404.0,40.9448
