year,month,passengers,passengers_capped,passengers_diff
1949,Jan,112,112,
1949,Feb,118,118,6.0
1949,Mar,132,132,14.0
1949,Apr,129,129,-3.0
1949,May,121,121,-8.0
1949,Jun,135,135,14.0
1949,Jul,148,148,13.0
1949,Aug,148,148,0.0
1949,Sep,136,136,-12.0
1949,Oct,119,119,-17.0
1949,Nov,104,104,-15.0
1949,Dec,118,118,14.0
1950,Jan,115,115,-3.0
1950,Feb,126,126,11.0
1950,Mar,141,141,15.0
1950,Apr,135,135,-6.0
1950,May,125,125,-10.0
1950,Jun,149,149,24.0
1950,Jul,170,170,21.0
1950,Aug,170,170,0.0
1950,Sep,158,158,-12.0
1950,Oct,133,133,-25.0
1950,Nov,114,114,-19.0
1950,Dec,140,140,26.0
1951,Jan,145,145,5.0
1951,Feb,150,150,5.0
1951,Mar,178,178,28.0
1951,Apr,163,163,-15.0
1951,May,172,172,9.0
1951,Jun,178,178,6.0
1951,Jul,199,199,21.0
1951,Aug,199,199,0.0
1951,Sep,184,184,-15.0
1951,Oct,162,162,-22.0
1951,Nov,146,146,-16.0
1951,Dec,166,166,20.0
1952,Jan,171,171,5.0
1952,Feb,180,180,9.0
1952,Mar,193,193,13.0
1952,Apr,181,181,-12.0
1952,May,183,183,2.0
1952,Jun,218,218,35.0
1952,Jul,230,230,12.0
1952,Aug,242,242,12.0
1952,Sep,209,209,-33.0
1952,Oct,191,191,-18.0
1952,Nov,172,172,-19.0
1952,Dec,194,194,22.0
1953,Jan,196,196,2.0
1953,Feb,196,196,0.0
1953,Mar,236,236,40.0
1953,Apr,235,235,-1.0
1953,May,229,229,-6.0
1953,Jun,243,243,14.0
1953,Jul,264,264,21.0
1953,Aug,272,272,8.0
1953,Sep,237,237,-35.0
1953,Oct,211,211,-26.0
1953,Nov,180,180,-31.0
1953,Dec,201,201,21.0
1954,Jan,204,204,3.0
1954,Feb,188,188,-16.0
1954,Mar,235,235,47.0
1954,Apr,227,227,-8.0
1954,May,234,234,7.0
1954,Jun,264,264,30.0
1954,Jul,302,302,38.0
1954,Aug,293,293,-9.0
1954,Sep,259,259,-34.0
1954,Oct,229,229,-30.0
1954,Nov,203,203,-26.0
1954,Dec,229,229,26.0
1955,Jan,242,242,13.0
1955,Feb,233,233,-9.0
1955,Mar,267,267,34.0
1955,Apr,269,269,2.0
1955,May,270,270,1.0
1955,Jun,315,315,45.0
1955,Jul,364,364,49.0
1955,Aug,347,347,-17.0
1955,Sep,312,312,-35.0
1955,Oct,274,274,-38.0
1955,Nov,237,237,-37.0
1955,Dec,278,278,41.0
1956,Jan,284,284,6.0
1956,Feb,277,277,-7.0
1956,Mar,317,317,40.0
1956,Apr,313,313,-4.0
1956,May,318,318,5.0
1956,Jun,374,374,56.0
1956,Jul,413,413,39.0
1956,Aug,405,405,-8.0
1956,Sep,355,355,-50.0
1956,Oct,306,306,-49.0
1956,Nov,271,271,-35.0
1956,Dec,306,306,35.0
1957,Jan,315,315,9.0
1957,Feb,301,301,-14.0
1957,Mar,356,356,55.0
1957,Apr,348,348,-8.0
1957,May,355,355,7.0
1957,Jun,422,422,67.0
1957,Jul,465,465,43.0
1957,Aug,467,467,2.0
1957,Sep,404,404,-63.0
1957,Oct,347,347,-57.0
1957,Nov,305,305,-42.0
1957,Dec,336,336,31.0
1958,Jan,340,340,4.0
1958,Feb,318,318,-22.0
1958,Mar,362,362,44.0
1958,Apr,348,348,-14.0
1958,May,363,363,15.0
1958,Jun,435,435,72.0
1958,Jul,491,491,56.0
1958,Aug,505,505,14.0
1958,Sep,404,404,-101.0
1958,Oct,359,359,-45.0
1958,Nov,310,310,-49.0
1958,Dec,337,337,27.0
1959,Jan,360,360,23.0
1959,Feb,342,342,-18.0
1959,Mar,406,406,64.0
1959,Apr,396,396,-10.0
1959,May,420,420,24.0
1959,Jun,472,472,52.0
1959,Jul,548,548,76.0
1959,Aug,559,559,11.0
1959,Sep,463,463,-96.0
1959,Oct,407,407,-56.0
1959,Nov,362,362,-45.0
1959,Dec,405,405,43.0
1960,Jan,417,417,12.0
1960,Feb,391,391,-26.0
1960,Mar,419,419,28.0
1960,Apr,461,461,42.0
1960,May,472,472,11.0
1960,Jun,535,535,63.0
1960,Jul,622,622,87.0
1960,Aug,606,606,-16.0
1960,Sep,508,508,-98.0
1960,Oct,461,461,-47.0
1960,Nov,390,390,-71.0
1960,Dec,432,432,42.0
