species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,body_mass_g_capped,bill_ratio
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,3750.0,2.0909090909090913
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,3800.0,2.270114942528736
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,3250.0,2.238888888888889
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,3450.0,1.9015544041450778
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,3650.0,1.907766990291262
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,3625.0,2.185393258426966
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,4675.0,2.0
Adelie,Torgersen,34.1,18.1,193.0,3475.0,Male,3475.0,1.8839779005524862
Adelie,Torgersen,42.0,20.2,190.0,4250.0,Male,4250.0,2.0792079207920793
Adelie,Torgersen,37.8,17.1,186.0,3300.0,Male,3300.0,2.2105263157894735
Adelie,Torgersen,37.8,17.3,180.0,3700.0,Male,3700.0,2.184971098265896
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,3200.0,2.3352272727272725
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,3800.0,1.8207547169811322
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,4400.0,1.6398104265402844
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,3700.0,2.056179775280899
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,3450.0,2.0368421052631582
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,4500.0,2.0531400966183577
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,3325.0,1.8695652173913044
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,4200.0,2.13953488372093
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,3400.0,2.065573770491803
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,3600.0,2.016042780748663
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,3800.0,1.8697916666666667
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,3950.0,2.110497237569061
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,3800.0,2.255813953488372
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,3800.0,1.8677248677248677
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,3550.0,2.182795698924731
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,3200.0,2.2625698324022347
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,3150.0,2.0376344086021505
